username,acctdesc,location,following,followers,totalTweets,usercreatedts,tweetcreatedts,retweetcount,text,hashtags
RenderToken,#RNDR - the distributed GPU rendering network & marketplace built on OctaneRender. Sign up now! https://t.co/d8od5KeIyb,,4212,5966,1533,2017-08-23 22:37:42,2020-07-11 17:18:02,4,"You wonder why the tiny marketcap coin @RenderToken ( $rndr ) is one of the 18 coins noticed by @coinbase? I did my research and am genuinely amazed!

$btc $eth #coinbase $vidt $link $ewt   $bat $bnb $algo $rlc https://t.co/4wbtRFZtIs",[]
OceanKrill,Ocean is life.,In the Ocean,82,5,9,2020-07-01 15:03:06,2020-07-11 16:47:22,11,"Closing in on shitcoins and making the grand entry into top 100 #soon

$ocean

$qnt $ubt $xrp $xmr $dai $ewt $link $god $fun $rep $tel $tomo $ghost $etn $shit $coin $lambo $rari https://t.co/QNLqMh18AE","[{'text': 'soon', 'indices': [84, 89]}]"
cryptorealworld,Fuck the bitcoin YouTube twat scammers .I am hear you wind up #cryptocurrency idiots,"London, England",13,1,71,2020-07-05 14:20:39,2020-07-11 16:43:24,0,"With $BTC #BITCOIN Now controlled by futures and exchange whales, the crowd will flock to Alts! It’s coming, it’s started such as $LINK $ATOM $EWT the list goes on!. You wanted institutional investors in btc, except the consequences","[{'text': 'BITCOIN', 'indices': [10, 18]}]"
robbedchunk656,Ayo giveaway squad fam,,2001,198,23721,2020-03-07 02:02:45,2020-07-11 16:29:16,10,"Retweet 🚀
Like 💥
Follow🪐

For your chance of winning $100 worth of $kai 
$kai 💎 

Yes $kai is on the verge of exploding see the video below and get your bags now!

$doge $Tron $zil $link $erd $vet $xrp $eth $btc $band $ewt $nim $rune $ren $tel 

https://t.co/gFb5I5budO",[]
ugly51,$EWT /  the Eth of Energy ⚡️⚡️,,336,316,870,2019-05-10 17:47:52,2020-07-11 16:20:26,0,"@juxtheposition That’s interesting, because $EWT is just as big (if not bigger) as a consortium and therefore should be top 5.... ⚡️⚡️⚡️⚡️",[]
CryptoRepublic6,,,14,9,125,2020-05-22 12:15:23,2020-07-11 16:18:29,10,"Retweet 🚀
Like 💥
Follow🪐

For your chance of winning $100 worth of $kai 
$kai 💎 

Yes $kai is on the verge of exploding see the video below and get your bags now!

$doge $Tron $zil $link $erd $vet $xrp $eth $btc $band $ewt $nim $rune $ren $tel 

https://t.co/gFb5I5budO",[]
dCryptoRepublic,,UK,920,482,2569,2009-01-28 07:13:11,2020-07-11 16:17:33,10,"Retweet 🚀
Like 💥
Follow🪐

For your chance of winning $100 worth of $kai 
$kai 💎 

Yes $kai is on the verge of exploding see the video below and get your bags now!

$doge $Tron $zil $link $erd $vet $xrp $eth $btc $band $ewt $nim $rune $ren $tel 

https://t.co/gFb5I5budO",[]
craigfitzs666,,,151,64,433,2009-08-14 07:50:27,2020-07-11 16:12:49,10,"Retweet 🚀
Like 💥
Follow🪐

For your chance of winning $100 worth of $kai 
$kai 💎 

Yes $kai is on the verge of exploding see the video below and get your bags now!

$doge $Tron $zil $link $erd $vet $xrp $eth $btc $band $ewt $nim $rune $ren $tel 

https://t.co/gFb5I5budO",[]
keefmode_7,Proud Bruin Alumnus California livin☀️,,263,260,1199,2011-08-03 04:58:32,2020-07-11 16:10:26,1,@TheBlock__ Why wait for eth 2.0 when $ewt already surpasses it.,[]
EkworaP,Am a creative guy... Full of energy and am for real,,893,126,674,2019-04-15 06:16:15,2020-07-11 16:09:58,10,"Retweet 🚀
Like 💥
Follow🪐

For your chance of winning $100 worth of $kai 
$kai 💎 

Yes $kai is on the verge of exploding see the video below and get your bags now!

$doge $Tron $zil $link $erd $vet $xrp $eth $btc $band $ewt $nim $rune $ren $tel 

https://t.co/gFb5I5budO",[]
soloosefr,"Crypto believer - FA maniac - Only strongest projects reach my portfolio.
$BTC ; $ETH ; $CHR early bird ; early $EWT chiller ; $OCEAN ; $QNT
I'm watching you.",France,728,491,2972,2017-11-08 08:23:27,2020-07-11 16:08:23,11,"Closing in on shitcoins and making the grand entry into top 100 #soon

$ocean

$qnt $ubt $xrp $xmr $dai $ewt $link $god $fun $rep $tel $tomo $ghost $etn $shit $coin $lambo $rari https://t.co/QNLqMh18AE","[{'text': 'soon', 'indices': [84, 89]}]"
msmarinsim,,,31,7,61,2016-04-03 13:10:56,2020-07-11 16:05:58,10,"Retweet 🚀
Like 💥
Follow🪐

For your chance of winning $100 worth of $kai 
$kai 💎 

Yes $kai is on the verge of exploding see the video below and get your bags now!

$doge $Tron $zil $link $erd $vet $xrp $eth $btc $band $ewt $nim $rune $ren $tel 

https://t.co/gFb5I5budO",[]
Jan64805823,,,12,3,48,2019-10-25 14:28:11,2020-07-11 15:56:26,10,"Retweet 🚀
Like 💥
Follow🪐

For your chance of winning $100 worth of $kai 
$kai 💎 

Yes $kai is on the verge of exploding see the video below and get your bags now!

$doge $Tron $zil $link $erd $vet $xrp $eth $btc $band $ewt $nim $rune $ren $tel 

https://t.co/gFb5I5budO",[]
Polobit1,Passionate crypto lover,,207,61,866,2019-01-21 21:40:05,2020-07-11 15:51:04,10,"Retweet 🚀
Like 💥
Follow🪐

For your chance of winning $100 worth of $kai 
$kai 💎 

Yes $kai is on the verge of exploding see the video below and get your bags now!

$doge $Tron $zil $link $erd $vet $xrp $eth $btc $band $ewt $nim $rune $ren $tel 

https://t.co/gFb5I5budO",[]
stephenwameyo,Movies/entrepreneur/motivation/Arsenal,Kenya,787,299,2282,2009-10-24 12:37:30,2020-07-11 15:44:28,10,"Retweet 🚀
Like 💥
Follow🪐

For your chance of winning $100 worth of $kai 
$kai 💎 

Yes $kai is on the verge of exploding see the video below and get your bags now!

$doge $Tron $zil $link $erd $vet $xrp $eth $btc $band $ewt $nim $rune $ren $tel 

https://t.co/gFb5I5budO",[]
cryptogenie12,Crypto wishes granted. $mitx $xbase $kai $frm $mbn,,248,94,249,2020-06-06 11:00:13,2020-07-11 15:39:09,10,"Retweet 🚀
Like 💥
Follow🪐

For your chance of winning $100 worth of $kai 
$kai 💎 

Yes $kai is on the verge of exploding see the video below and get your bags now!

$doge $Tron $zil $link $erd $vet $xrp $eth $btc $band $ewt $nim $rune $ren $tel 

https://t.co/gFb5I5budO",[]
lattenpresser,"Paul Allens Card sucks

$VIDT $LTO $RNDR $XDB $DGB",,83,42,448,2019-06-13 10:25:04,2020-07-11 15:36:24,4,"You wonder why the tiny marketcap coin @RenderToken ( $rndr ) is one of the 18 coins noticed by @coinbase? I did my research and am genuinely amazed!

$btc $eth #coinbase $vidt $link $ewt   $bat $bnb $algo $rlc https://t.co/4wbtRFZtIs",[]
ewt_grunt,not affiliated at all with energy web chain - just a big fan.,,42,20,126,2019-11-17 09:33:07,2020-07-11 15:28:59,1,@TheBlock__ Why wait for eth 2.0 when $ewt already surpasses it.,[]
cryptozen_eth,The clue is in the background pic 🚀 Invested in the future  #linkmarine $ewtwhale 🐳,,70,54,172,2020-05-09 06:07:09,2020-07-11 15:25:45,4,"$QNT will pull a $VET pump 📈
$OCEAN will do a $LINK 

And last but not least ⚡️⚡️

$EWT will pull a $EWT pump, never happend before! 

That was my tweet, good night 🙏🏽",[]
HP12181,,Germany,1999,590,1850,2018-06-08 07:05:43,2020-07-11 15:19:16,27,"Choose ANY 3 alts of your choice to ride to financial freedom in a bullrun. 

What are your top 3 picks? 

$RSR $LINK $COTI $RUNE $LCX $DMG $VRA $TRB $DAG $QNT $STAKE $NOIA $UBT $UTK $RVX $HTR $OCEAN $ZNN $EWT $TOMO $BAND $ICX $AKRO $BNB $MATIC",[]
yayowam,Crypto investor/researcher | Cyber Security | Based in the UK. https://t.co/1W8i5qH2EX,United Kingdom,486,608,1251,2017-11-08 02:37:35,2020-07-11 15:18:15,4,"You wonder why the tiny marketcap coin @RenderToken ( $rndr ) is one of the 18 coins noticed by @coinbase? I did my research and am genuinely amazed!

$btc $eth #coinbase $vidt $link $ewt   $bat $bnb $algo $rlc https://t.co/4wbtRFZtIs",[]
TheSoberPhil,"Searching for the best alt coins. Trying to stay sober and well behaved😜 $btc $eth #bitcoin $ocean $ewt $qnt $chr
Never be the first, never be the last.",,399,116,578,2020-04-30 21:13:38,2020-07-11 14:57:01,11,"Closing in on shitcoins and making the grand entry into top 100 #soon

$ocean

$qnt $ubt $xrp $xmr $dai $ewt $link $god $fun $rep $tel $tomo $ghost $etn $shit $coin $lambo $rari https://t.co/QNLqMh18AE","[{'text': 'soon', 'indices': [84, 89]}]"
BelieveinAlts,Investor of crypto and a believer in Blockchain. My tweets are my personal opinions and not financial advice | DYOR,North America,465,173,1229,2010-04-29 20:39:33,2020-07-11 14:41:55,5,"@binance $EWT 

Let’s be transparent here: it’s clear to the community that CMC shows lack of interest to update the MCAP of @energywebx

Tell us WHY does it take months to make changes especially when the other party provided sufficient info for you to get the job done

@CoinMarketCap",[]
yinchaoji,"Top predictor of  LotteryPost ,Often hits straight pick 3 with 25 picks,hits CA daily 4 straight with 360 picks.",Beijing,102,28,53,2014-07-18 08:47:51,2020-07-11 14:41:53,13,"HOLY! 😍

@DEXToolsApp is working on a token catcher and an order book for @UniswapProtocol, so you will be able to put an order and see other people's orders for a token! Also they provide scam alerts!

#DeFi #Crypto

$LCX $XBASE $RSR $DMG $ETH $EWT $MBN $ALEPH $LINK $COTI $BTC https://t.co/uOoWaPDxGh",[]
Darkhorse7788,$DMG $DAM $RVX $RUNE $ALEPH $STAKE $LCX $OCEAN $SLP $RSR $KAI $SNX $REN $LEND $AKRO $RNDR $PHNX $FRM,universe,508,64,722,2017-12-14 09:33:22,2020-07-11 14:14:20,27,"Choose ANY 3 alts of your choice to ride to financial freedom in a bullrun. 

What are your top 3 picks? 

$RSR $LINK $COTI $RUNE $LCX $DMG $VRA $TRB $DAG $QNT $STAKE $NOIA $UBT $UTK $RVX $HTR $OCEAN $ZNN $EWT $TOMO $BAND $ICX $AKRO $BNB $MATIC",[]
DefNotTheIRS,,,2250,1677,14575,2016-03-25 06:58:25,2020-07-11 14:10:39,0,"The suppression and pure ignorance of CT on $ocean truly shocks me. We are so unbelievably early. It’s literally getting a coinbase listing, it has $ewt on boarding happening, Mercedes partnership, just broke into price discovery, enabled by $link oracles.. this is insanity. https://t.co/BfxOpqyhko",[]
sonicblend,,"England, United Kingdom",306,146,38,2010-01-23 09:01:59,2020-07-11 14:09:30,4,"You wonder why the tiny marketcap coin @RenderToken ( $rndr ) is one of the 18 coins noticed by @coinbase? I did my research and am genuinely amazed!

$btc $eth #coinbase $vidt $link $ewt   $bat $bnb $algo $rlc https://t.co/4wbtRFZtIs",[]
riceandcrypto,"Eating rice and trading🌽
Member of @parachutetoken, @BombToken & @Master91Builder _-_-_
Cashapp: $yohangiboy",People's Republic of China,995,340,10495,2018-02-03 05:59:33,2020-07-11 14:06:52,27,"Choose ANY 3 alts of your choice to ride to financial freedom in a bullrun. 

What are your top 3 picks? 

$RSR $LINK $COTI $RUNE $LCX $DMG $VRA $TRB $DAG $QNT $STAKE $NOIA $UBT $UTK $RVX $HTR $OCEAN $ZNN $EWT $TOMO $BAND $ICX $AKRO $BNB $MATIC",[]
cryptoBoyyy,● Breathing crypto,,2,396,778,2011-04-26 21:56:01,2020-07-11 13:57:13,4,"You wonder why the tiny marketcap coin @RenderToken ( $rndr ) is one of the 18 coins noticed by @coinbase? I did my research and am genuinely amazed!

$btc $eth #coinbase $vidt $link $ewt   $bat $bnb $algo $rlc https://t.co/4wbtRFZtIs","[{'text': 'coinbase', 'indices': [161, 170]}]"
yardmancrypto,#ODL ondemandliquidity realworld use cases.. Determine your own Destiny #moon 🚀🚀🚀🚶‍♂🏃‍♂️🏃‍♀️,,937,154,1926,2018-01-01 17:59:09,2020-07-11 13:00:23,5,"Polkadot will be massive. I'm in:

🧙‍♂️ $PCX ChainX; interoperability + DeFi

🧙‍♂️ $EDG Edgeware, the first smart contract platform built on Polkadot

🧙‍♂️ $AKRO Akropolis;  next #DeFi to explode?

&amp; a 4th that I'm keeping secret for now 🤫

$RLC $KSM $LINK $EWT all in the mix too https://t.co/xh6Nz0Ckb6",[]
PuttermanYaron,"I tweet to curious minds about :   Stock market, Geopolitics, Science, History , Philsophy  , Geography , Environment & Travel.",Planet Earth,561,45,1166,2012-09-26 12:44:39,2020-07-11 12:59:02,4,"""Taiwan Has A Lot To Tell""

In this new post @allstarcharts, we discuss what Taiwan breaking out of a 30-year base could mean for global equities and intermarket relationships $EWT $SOX $SSEC $EEM $SPY $VEU

https://t.co/9GF0w4jkzh https://t.co/orNk2JPc6L",[]
JoshPatkin,"Here for the charts, articles, and giggles. CFA Level 3 Candidate. CAIA Level 1 passed. CMT Level 1 passed. Gold, silver, uranium, copper, and bio at the moment","Massachusetts, USA",993,227,11225,2012-03-16 00:09:59,2020-07-11 12:58:20,4,"""Taiwan Has A Lot To Tell""

In this new post @allstarcharts, we discuss what Taiwan breaking out of a 30-year base could mean for global equities and intermarket relationships $EWT $SOX $SSEC $EEM $SPY $VEU

https://t.co/9GF0w4jkzh https://t.co/orNk2JPc6L",[]
haumicharts,18 year old aspiring financier and technical analyst. Studying BCom Finance at The University of Auckland. Intern @allstarcharts,"Auckland, New Zealand",496,1480,1167,2018-05-10 09:08:55,2020-07-11 12:54:13,4,"""Taiwan Has A Lot To Tell""

In this new post @allstarcharts, we discuss what Taiwan breaking out of a 30-year base could mean for global equities and intermarket relationships $EWT $SOX $SSEC $EEM $SPY $VEU

https://t.co/9GF0w4jkzh https://t.co/orNk2JPc6L",[]
marekjepan,,,320,20,260,2018-11-09 11:42:16,2020-07-11 12:43:05,27,"Choose ANY 3 alts of your choice to ride to financial freedom in a bullrun. 

What are your top 3 picks? 

$RSR $LINK $COTI $RUNE $LCX $DMG $VRA $TRB $DAG $QNT $STAKE $NOIA $UBT $UTK $RVX $HTR $OCEAN $ZNN $EWT $TOMO $BAND $ICX $AKRO $BNB $MATIC",[]
sunseeker777777,,,511,188,3396,2015-04-13 08:42:39,2020-07-11 12:07:41,4,"""Taiwan Has A Lot To Tell""

In this new post @allstarcharts, we discuss what Taiwan breaking out of a 30-year base could mean for global equities and intermarket relationships $EWT $SOX $SSEC $EEM $SPY $VEU

https://t.co/9GF0w4jkzh https://t.co/orNk2JPc6L",[]
sstrazza,Recovering Corporate American. Passion for Markets & Ties to Tax.. Love 10-K's the Ocean & Charts.. Stay Hungry. Stay Foolish. Technical Analyst @allstarcharts.,"Key West, FL",1019,4083,9777,2012-07-17 17:07:31,2020-07-11 12:01:19,4,"""Taiwan Has A Lot To Tell""

In this new post @allstarcharts, we discuss what Taiwan breaking out of a 30-year base could mean for global equities and intermarket relationships $EWT $SOX $SSEC $EEM $SPY $VEU

https://t.co/9GF0w4jkzh https://t.co/orNk2JPc6L",[]
CryptoMrk,"BTC supremacist, immutability and intolerance is the name of the game. In DL projects because the world is too interesting to confine your views.",outer space,2496,418,4455,2018-01-03 06:45:49,2020-07-11 11:55:37,4,"$QNT will pull a $VET pump 📈
$OCEAN will do a $LINK 

And last but not least ⚡️⚡️

$EWT will pull a $EWT pump, never happend before! 

That was my tweet, good night 🙏🏽",[]
oceancryptobag,"$btc $eth
Trader/hodler/investor
$OCEAN #web3",,2282,2194,2928,2018-05-23 17:34:53,2020-07-11 11:48:42,11,"Closing in on shitcoins and making the grand entry into top 100 #soon

$ocean

$qnt $ubt $xrp $xmr $dai $ewt $link $god $fun $rep $tel $tomo $ghost $etn $shit $coin $lambo $rari https://t.co/QNLqMh18AE","[{'text': 'soon', 'indices': [84, 89]}]"
dominach,,,49,30,2197,2009-05-12 11:15:11,2020-07-11 11:14:00,0,@cfromhertz Go $EWT !,[]
JorcanoJavier,blckchn and cryptos,,20,4,21,2020-05-17 10:42:20,2020-07-11 10:50:53,27,"Choose ANY 3 alts of your choice to ride to financial freedom in a bullrun. 

What are your top 3 picks? 

$RSR $LINK $COTI $RUNE $LCX $DMG $VRA $TRB $DAG $QNT $STAKE $NOIA $UBT $UTK $RVX $HTR $OCEAN $ZNN $EWT $TOMO $BAND $ICX $AKRO $BNB $MATIC",[]
Michael44132148,,,5,9,343,2018-03-06 19:24:57,2020-07-11 10:48:01,11,"Closing in on shitcoins and making the grand entry into top 100 #soon

$ocean

$qnt $ubt $xrp $xmr $dai $ewt $link $god $fun $rep $tel $tomo $ghost $etn $shit $coin $lambo $rari https://t.co/QNLqMh18AE","[{'text': 'soon', 'indices': [84, 89]}]"
Brakels23,We are building the next Google for the energy market. #EWT 💡🌎🇩🇪,"Dubai, United Arab Emirates",161,54,331,2020-01-15 17:24:57,2020-07-11 10:37:26,0,"EnergyWebToken price Ticker 🔥⚡️
$EWT ⛈ https://t.co/HMHHMsABVU",[]
maxcoinist,"Altcoin investor & heart giver, sitting Quamfy. No TAs here. #BTC #ETH #OMG  #QNT #XBASE #NULS #OLT #HOLO #FTM #cryptocurrency",Bullland,1865,408,3166,2017-08-23 05:44:33,2020-07-11 09:54:03,11,"Closing in on shitcoins and making the grand entry into top 100 #soon

$ocean

$qnt $ubt $xrp $xmr $dai $ewt $link $god $fun $rep $tel $tomo $ghost $etn $shit $coin $lambo $rari https://t.co/QNLqMh18AE","[{'text': 'soon', 'indices': [84, 89]}]"
dutchxrplink,"Fuck nude pictures, send me your playlist!

*motivation* https://t.co/l1EeNw2fDT








$xrp $link $ocean 

$qnt $dag $XAG",Nederland,651,345,6483,2012-01-30 21:41:00,2020-07-11 09:31:47,11,"Closing in on shitcoins and making the grand entry into top 100 #soon

$ocean

$qnt $ubt $xrp $xmr $dai $ewt $link $god $fun $rep $tel $tomo $ghost $etn $shit $coin $lambo $rari https://t.co/QNLqMh18AE","[{'text': 'soon', 'indices': [84, 89]}]"
CryptoM54863828,,,75,8,21,2020-07-07 17:19:22,2020-07-11 09:31:46,11,"Closing in on shitcoins and making the grand entry into top 100 #soon

$ocean

$qnt $ubt $xrp $xmr $dai $ewt $link $god $fun $rep $tel $tomo $ghost $etn $shit $coin $lambo $rari https://t.co/QNLqMh18AE","[{'text': 'soon', 'indices': [84, 89]}]"
infected_whale,What we know is a drop. What we don’t know is an $ocean,a simulation of the mind,1985,1244,4299,2018-06-30 11:53:53,2020-07-11 09:27:58,11,"Closing in on shitcoins and making the grand entry into top 100 #soon

$ocean

$qnt $ubt $xrp $xmr $dai $ewt $link $god $fun $rep $tel $tomo $ghost $etn $shit $coin $lambo $rari https://t.co/QNLqMh18AE","[{'text': 'soon', 'indices': [84, 89]}]"
infected_whale,What we know is a drop. What we don’t know is an $ocean,a simulation of the mind,1985,1244,4299,2018-06-30 11:53:53,2020-07-11 09:27:53,11,"Closing in on shitcoins and making the grand entry into top 100 #soon

$ocean

$qnt $ubt $xrp $xmr $dai $ewt $link $god $fun $rep $tel $tomo $ghost $etn $shit $coin $lambo $rari https://t.co/QNLqMh18AE","[{'text': 'soon', 'indices': [64, 69]}]"
CollectingCones,,Earth,138,45,556,2014-12-03 08:32:07,2020-07-11 09:01:52,0,"Can't wait to find out the true value of $SCRT @SecretNetwork!!
This one is definitely under the radar, not yet listed ANYWHERE!!!

#AltSeason
$RSR $LINK $COTI $RUNE $LCX $DMG $VRA $TRB $DAG $QNT $STAKE $NOIA $UBT $UTK $RVX $HTR $OCEAN $ZNN $EWT $TOMO $BAND $ICX $AKRO $BNB $MATIC","[{'text': 'AltSeason', 'indices': [132, 142]}]"
BitnAlts,Sharing Trade Ideas for learning.Tweets and RT's are personal opinions,Wonderland,607,569,2426,2017-07-20 17:54:50,2020-07-11 08:52:24,0,"$OCEAN 5x from my entry good times
$EWT 10x 
$CHR 3x 

But this is just the start",[]
cryptocat_meow,$LCX $STAKE $RSR $DMG $QNT $UBT $ETH,🇵🇭 | 🇸🇪 ,561,126,1474,2020-01-13 20:06:58,2020-07-11 08:49:30,27,"Choose ANY 3 alts of your choice to ride to financial freedom in a bullrun. 

What are your top 3 picks? 

$RSR $LINK $COTI $RUNE $LCX $DMG $VRA $TRB $DAG $QNT $STAKE $NOIA $UBT $UTK $RVX $HTR $OCEAN $ZNN $EWT $TOMO $BAND $ICX $AKRO $BNB $MATIC",[]
buihongdiepcom,"Bùi Hồng Điệp | Chuyên Gia Chiến Lược & Đầu tư tài chính #Hybridblockchain #XDC... Mentoring quản trị, lãnh đạo, tối ưu & Phát triển con người",Vietnam,559,1106,3028,2012-02-08 01:56:39,2020-07-11 08:47:29,27,"Choose ANY 3 alts of your choice to ride to financial freedom in a bullrun. 

What are your top 3 picks? 

$RSR $LINK $COTI $RUNE $LCX $DMG $VRA $TRB $DAG $QNT $STAKE $NOIA $UBT $UTK $RVX $HTR $OCEAN $ZNN $EWT $TOMO $BAND $ICX $AKRO $BNB $MATIC",[]
plugall1,CEO of Cube investment.,,678,123,1589,2020-03-15 23:43:35,2020-07-11 08:46:07,4,"$QNT

In case you missed it?   

Bullish anyone?

$RUNE $HTR $EWT $XDCE $XRP $BTC https://t.co/I5Z2ZXjn24",[]
cryptdano,₳ 🚀🔥 𝔸𝔻𝔸 ℂ𝕒𝕣𝕕𝕒𝕟𝕠 🔥🚀₳,"Dortmund, Deutschland",937,434,7472,2016-02-27 18:41:50,2020-07-11 08:25:17,1,"$BTC dominance about to fall hard imo.

And $ALTS market cap on the rise. Breaking 110 billion and we’ll go to another galaxy.

Watch this closely, because you know what this means. #altseason2020 

$ADA $LINK $HBAR $EWT $DOT $KSM $RLC $UOS $ELA $FET https://t.co/eWnbGXGTRy",[]
CryptoYagami,"In #Crypto since 2016, Found a Pump Note, Holder, Trader, Turned $25k into $820k, ₿ #Bitcoin $BTC $ETH $LINK $ADA $HBAR $TOMO $DOT $KSM $EWT $UOS $RLC",東京都,97,577,2968,2018-05-08 22:04:14,2020-07-11 07:59:38,1,"$BTC dominance about to fall hard imo.

And $ALTS market cap on the rise. Breaking 110 billion and we’ll go to another galaxy.

Watch this closely, because you know what this means. #altseason2020 

$ADA $LINK $HBAR $EWT $DOT $KSM $RLC $UOS $ELA $FET https://t.co/eWnbGXGTRy","[{'text': 'altseason2020', 'indices': [182, 196]}]"
Oli20016034,Wish my girl was as sexy as Quant ($qnt),,148,225,1647,2020-01-28 22:31:42,2020-07-11 07:50:04,4,"$QNT

In case you missed it?   

Bullish anyone?

$RUNE $HTR $EWT $XDCE $XRP $BTC https://t.co/I5Z2ZXjn24",[]
ewt_grunt,not affiliated at all with energy web chain - just a big fan.,,42,20,126,2019-11-17 09:33:07,2020-07-11 07:42:40,0,"@kucoincom $ewt, and u know it.",[]
BiPolarBaer7,"I retweet things so I can read them later...
In year 2 of the crypto space.  Learning in the bear market.
Crypto trading obsession.
Pro fishing guide on hiatus.","Montréal, Québec, Canada",386,29,368,2018-01-26 18:33:22,2020-07-11 07:36:51,27,"Choose ANY 3 alts of your choice to ride to financial freedom in a bullrun. 

What are your top 3 picks? 

$RSR $LINK $COTI $RUNE $LCX $DMG $VRA $TRB $DAG $QNT $STAKE $NOIA $UBT $UTK $RVX $HTR $OCEAN $ZNN $EWT $TOMO $BAND $ICX $AKRO $BNB $MATIC",[]
ugly51,$EWT /  the Eth of Energy ⚡️⚡️,,336,316,870,2019-05-10 17:47:52,2020-07-11 07:01:46,0,"@binance $EWT

Or

$OCEAN",[]
