username,acctdesc,location,following,followers,totalTweets,usercreatedts,tweetcreatedts,retweetcount,text,hashtags
amjed_ababseh,,,65,98,3037,2017-06-13 00:06:22,2020-07-11 17:52:37,3,"$tel #telcoin Update 💥🗣👀

- New team additions 

- Global licenses/partners in great shape &amp; Telcoin is in position to succeed 

- Opening up Telegram on Monday &amp; Paul Neuner (CEO) will make a broader statement https://t.co/9QGy4zPgAt","[{'text': 'telcoin', 'indices': [19, 27]}]"
Bitcoin143,"🌙.........🔭 @digitalbitsorg , #hodl my beer 🍺",The Moon,783,874,9874,2016-10-12 23:32:02,2020-07-11 17:47:43,2,"Want to learn why #vechain is the best #blockchain company in the world? Watch the link here : https://t.co/JwFW1SZ4jo
$vet is the new oil 2020 + 🚀🚀
#bitcoin #ethereum #chainlink #cryptocurrency #xrp #altseason2020 #altseason #altszn #MATICNetwork #tezos #telcoin #xvg $btc.d https://t.co/60ggy1jVy2","[{'text': 'vechain', 'indices': [18, 26]}, {'text': 'blockchain', 'indices': [39, 50]}, {'text': 'bitcoin', 'indices': [149, 157]}, {'text': 'ethereum', 'indices': [158, 167]}, {'text': 'chainlink', 'indices': [168, 178]}, {'text': 'cryptocurrency', 'indices': [179, 194]}, {'text': 'xrp', 'indices': [195, 199]}, {'text': 'altseason2020', 'indices': [200, 214]}, {'text': 'altseason', 'indices': [215, 225]}, {'text': 'altszn', 'indices': [226, 233]}, {'text': 'MATICNetwork', 'indices': [234, 247]}, {'text': 'tezos', 'indices': [248, 254]}, {'text': 'telcoin', 'indices': [255, 263]}, {'text': 'xvg', 'indices': [264, 268]}]"
Smitty2292,Keller Williams Realtor 🏡,"Atlanta, Georgia",1084,1313,22690,2009-05-07 00:22:56,2020-07-11 17:21:03,11,You knew it was only a matter of time before it was coming.. $TEL. Broke 2 major resistance level yesterday and has been trending higher since. The last 2 times the MACD crossed positive it pumped.. A 3rd crossover is beginning to occur. Will it pump and make another higher high? https://t.co/IRU4Gs2tkW,[]
DrEvilofCrypto,Former Evil Doctor | Current Crypto Influencer,Secret Volcano Lair,858,1793,5287,2017-02-16 03:33:18,2020-07-11 17:08:48,0,Almost a 50% increase in price since I tweeted this. But I don’t know anything. 😉🤫  $TEL #Telcoin https://t.co/53KHxprLXL,"[{'text': 'Telcoin', 'indices': [89, 97]}]"
OceanKrill,Ocean is life.,In the Ocean,82,5,9,2020-07-01 15:03:06,2020-07-11 16:47:22,11,"Closing in on shitcoins and making the grand entry into top 100 #soon

$ocean

$qnt $ubt $xrp $xmr $dai $ewt $link $god $fun $rep $tel $tomo $ghost $etn $shit $coin $lambo $rari https://t.co/QNLqMh18AE","[{'text': 'soon', 'indices': [84, 89]}]"
Javlonb42043423,@Javlon90,,7,2,93,2020-06-22 05:43:39,2020-07-11 16:43:22,0,"@BigChonis Airdrop BAT is the best of the best! For each ETH coin you hold in your wallet, you get 400 BAT (115 USD) for free @Airdrop_BAT 🍓 $vidt $vra $tel $coti $dag $rsr $chz $xrp $eth $ada $trx $lit $lto $olt $link $poly $neo $ogn $eos $hbar $chr $soul $fet $btc $matic",[]
ScottSodero,,,212,110,3399,2012-04-05 22:14:44,2020-07-11 16:33:42,0,"@MoonOverlord Not only will $tel @telcoin_team  blow away the remittance market, they will also make Defi Available to a HUGE number of the ""credit invisible"".  
https://t.co/nbmh9rNewZ",[]
robbedchunk656,Ayo giveaway squad fam,,2001,198,23720,2020-03-07 02:02:45,2020-07-11 16:29:16,10,"Retweet 🚀
Like 💥
Follow🪐

For your chance of winning $100 worth of $kai 
$kai 💎 

Yes $kai is on the verge of exploding see the video below and get your bags now!

$doge $Tron $zil $link $erd $vet $xrp $eth $btc $band $ewt $nim $rune $ren $tel 

https://t.co/gFb5I5budO",[]
spottingstocks2,Second account of @spotting_stocks.   Check out my book: https://t.co/AfAD25obLe,,0,138,852,2018-01-25 18:40:51,2020-07-11 16:19:48,0,"A Beginner’s Guide to Stock Investing. 

On Amazon. 

Link: https://t.co/Nm3L7G4Zzw 

$SWKS $SLG $SNA $SO $LUV $SPGI $SWK $SBUX $STT $SRCL $SYK $STI $SIVB $SYMC $SYF $SNPS $SYY $TROW $TTWO $TPR $TGT $TEL $FTI $TXN $TXT $TMO $TIF $TWTR $TJX $TMK $TSS $TSCO $TDG $TRV $TRIP $FOX https://t.co/Ldzpgc857Q",[]
CryptoRepublic6,,,14,9,125,2020-05-22 12:15:23,2020-07-11 16:18:29,10,"Retweet 🚀
Like 💥
Follow🪐

For your chance of winning $100 worth of $kai 
$kai 💎 

Yes $kai is on the verge of exploding see the video below and get your bags now!

$doge $Tron $zil $link $erd $vet $xrp $eth $btc $band $ewt $nim $rune $ren $tel 

https://t.co/gFb5I5budO",[]
dCryptoRepublic,,UK,920,482,2569,2009-01-28 07:13:11,2020-07-11 16:17:33,10,"Retweet 🚀
Like 💥
Follow🪐

For your chance of winning $100 worth of $kai 
$kai 💎 

Yes $kai is on the verge of exploding see the video below and get your bags now!

$doge $Tron $zil $link $erd $vet $xrp $eth $btc $band $ewt $nim $rune $ren $tel 

https://t.co/gFb5I5budO",[]
craigfitzs666,,,151,64,433,2009-08-14 07:50:27,2020-07-11 16:12:49,10,"Retweet 🚀
Like 💥
Follow🪐

For your chance of winning $100 worth of $kai 
$kai 💎 

Yes $kai is on the verge of exploding see the video below and get your bags now!

$doge $Tron $zil $link $erd $vet $xrp $eth $btc $band $ewt $nim $rune $ren $tel 

https://t.co/gFb5I5budO",[]
EkworaP,Am a creative guy... Full of energy and am for real,,893,126,674,2019-04-15 06:16:15,2020-07-11 16:09:58,10,"Retweet 🚀
Like 💥
Follow🪐

For your chance of winning $100 worth of $kai 
$kai 💎 

Yes $kai is on the verge of exploding see the video below and get your bags now!

$doge $Tron $zil $link $erd $vet $xrp $eth $btc $band $ewt $nim $rune $ren $tel 

https://t.co/gFb5I5budO",[]
soloosefr,"Crypto believer - FA maniac - Only strongest projects reach my portfolio.
$BTC ; $ETH ; $CHR early bird ; early $EWT chiller ; $OCEAN ; $QNT
I'm watching you.",France,728,491,2972,2017-11-08 08:23:27,2020-07-11 16:08:23,11,"Closing in on shitcoins and making the grand entry into top 100 #soon

$ocean

$qnt $ubt $xrp $xmr $dai $ewt $link $god $fun $rep $tel $tomo $ghost $etn $shit $coin $lambo $rari https://t.co/QNLqMh18AE","[{'text': 'soon', 'indices': [84, 89]}]"
msmarinsim,,,31,7,61,2016-04-03 13:10:56,2020-07-11 16:05:58,10,"Retweet 🚀
Like 💥
Follow🪐

For your chance of winning $100 worth of $kai 
$kai 💎 

Yes $kai is on the verge of exploding see the video below and get your bags now!

$doge $Tron $zil $link $erd $vet $xrp $eth $btc $band $ewt $nim $rune $ren $tel 

https://t.co/gFb5I5budO",[]
Jan64805823,,,12,3,48,2019-10-25 14:28:11,2020-07-11 15:56:26,10,"Retweet 🚀
Like 💥
Follow🪐

For your chance of winning $100 worth of $kai 
$kai 💎 

Yes $kai is on the verge of exploding see the video below and get your bags now!

$doge $Tron $zil $link $erd $vet $xrp $eth $btc $band $ewt $nim $rune $ren $tel 

https://t.co/gFb5I5budO",[]
Polobit1,Passionate crypto lover,,207,61,866,2019-01-21 21:40:05,2020-07-11 15:51:04,10,"Retweet 🚀
Like 💥
Follow🪐

For your chance of winning $100 worth of $kai 
$kai 💎 

Yes $kai is on the verge of exploding see the video below and get your bags now!

$doge $Tron $zil $link $erd $vet $xrp $eth $btc $band $ewt $nim $rune $ren $tel 

https://t.co/gFb5I5budO",[]
stephenwameyo,Movies/entrepreneur/motivation/Arsenal,Kenya,787,299,2282,2009-10-24 12:37:30,2020-07-11 15:44:28,10,"Retweet 🚀
Like 💥
Follow🪐

For your chance of winning $100 worth of $kai 
$kai 💎 

Yes $kai is on the verge of exploding see the video below and get your bags now!

$doge $Tron $zil $link $erd $vet $xrp $eth $btc $band $ewt $nim $rune $ren $tel 

https://t.co/gFb5I5budO",[]
Cryptoverlord1,Finding signals within the noise. #CRYPTO #DeFi $KNC $LINK $ZIL $ZRX $ETH $TEL $OMG #Altcoin maxi,DETROIT,2590,1114,8873,2018-01-18 23:28:16,2020-07-11 15:40:21,0,"From my music industry experience I’ve learned “no news is bad news” 😝 Think about how many people interested in $TEL just got scared &amp; hyped up their fear, only to bring attention to the fact that #Telcoin is actually the closest it’s been to completing their vision. Let’s go!","[{'text': 'Telcoin', 'indices': [202, 210]}]"
cryptogenie12,Crypto wishes granted. $mitx $xbase $kai $frm $mbn,,248,94,249,2020-06-06 11:00:13,2020-07-11 15:39:09,10,"Retweet 🚀
Like 💥
Follow🪐

For your chance of winning $100 worth of $kai 
$kai 💎 

Yes $kai is on the verge of exploding see the video below and get your bags now!

$doge $Tron $zil $link $erd $vet $xrp $eth $btc $band $ewt $nim $rune $ren $tel 

https://t.co/gFb5I5budO",[]
filmismygf,i take photographs of people wearing clothes | contact@jamesgiammetta.net,"New York, NY",541,2792,25335,2012-09-01 00:48:21,2020-07-11 15:31:42,0,Next leg incoming soon for TelCoin $TEL,[]
TronDogMommy,TradeShow & Conference Logistics Professional with a passion for Crypto & an obsession for all things Tron♥️,,2850,2924,11076,2018-01-20 22:20:41,2020-07-11 15:28:22,0,"@telcoin_team Can you explain why the blockchain platform is being used without $TEL for remittances in Canada/ Philipean corridor and if we can expect that to happen again, going forward? Thank you!",[]
murmelt1er,😎 #tron #trx #igg #tel #apl #hot,Schweiz,241,146,4518,2018-03-31 11:31:05,2020-07-11 15:21:23,2,"Sats: 0.00000003 BTC

24h change: (20.42%)

USD: $0.000243
MarketCap: (1,248 BTC - 48,142 ETH)
Volume: $191,227 USD
Circulating Supply: 47,245,810,799 TEL

$TEL #TEL #Telcoin @Telcoin_team #SendMoneySmarter #FinTech #FinancialInclusion",[]
trossiehaarlem,zanger van het nederlandstallige lied https://t.co/dM0LiTaFiF,haarlem,225,74,427,2011-03-31 19:15:56,2020-07-11 15:16:49,0,"People Monday the telcoin train is leaving

Don't miss out this opportunity
For the second time

#telcoin #btc
#eth #SendMoneySmarter https://t.co/GfU0wGfAWD","[{'text': 'telcoin', 'indices': [97, 105]}, {'text': 'btc', 'indices': [106, 110]}, {'text': 'eth', 'indices': [111, 115]}, {'text': 'SendMoneySmarter', 'indices': [116, 133]}]"
Cryptoverlord1,Finding signals within the noise. #CRYPTO #DeFi $KNC $LINK $ZIL $ZRX $ETH $TEL $OMG #Altcoin maxi,DETROIT,2590,1114,8873,2018-01-18 23:28:16,2020-07-11 15:08:38,1,Most people were thinking a new CEO for #Telcoin would be a bad thing... but what if it’s the catalyst for the next major move 😏 $TEL,"[{'text': 'Telcoin', 'indices': [40, 48]}]"
TheSoberPhil,"Searching for the best alt coins. Trying to stay sober and well behaved😜 $btc $eth #bitcoin $ocean $ewt $qnt $chr
Never be the first, never be the last.",,399,116,578,2020-04-30 21:13:38,2020-07-11 14:57:01,11,"Closing in on shitcoins and making the grand entry into top 100 #soon

$ocean

$qnt $ubt $xrp $xmr $dai $ewt $link $god $fun $rep $tel $tomo $ghost $etn $shit $coin $lambo $rari https://t.co/QNLqMh18AE","[{'text': 'soon', 'indices': [84, 89]}]"
e3epannell,"Triune God first love in our lives. Retired government, retired real estate investors. Cryptocurrency investors APL BTC ETH TEL. USA & international travelers.",,50,35,855,2018-04-17 19:49:10,2020-07-11 14:44:10,2,"Sats: 0.00000003 BTC

24h change: (20.42%)

USD: $0.000243
MarketCap: (1,248 BTC - 48,142 ETH)
Volume: $191,227 USD
Circulating Supply: 47,245,810,799 TEL

$TEL #TEL #Telcoin @Telcoin_team #SendMoneySmarter #FinTech #FinancialInclusion",[]
HaydeeZaragoza,I Say What I Mean and Mean What I Say. My posts are NOT financial advice! I’m here for the sats! Do Your Own Research! $BTC: 346CWMtaz2TbSdok1b3AHjRESf7PHvxjUG,"Puerto Vallarta, Jalisco",245,121,1815,2012-01-17 17:11:50,2020-07-11 14:36:02,0,Picking up a bit more $KSM today!  On KuCoin @kucoincom Seems like a no brainer to me! This will definitely go to infinity and beyond!  $TEL $Link $Algo $btc $eth $link SEND IT! @aplusk https://t.co/Jr78h4ex2D,[]
XQRAPgHOjJFfJBx,,,2,0,84,2019-06-25 11:31:50,2020-07-11 14:00:38,0,@nvk @stephanlivera Can everyone register for Airdrop Ethereum and BAT @BAT_Airdrop? I advise ETH and BAT owners not to miss the earning opportunity.) $vidt $vra $tel $coti $dag $rsr $chz $xrp $eth $ada $trx $lit $lto $olt $link $poly $neo $ogn $eos $hbar $chr $soul $fet $btc $matic,[]
CryptoChofo,,,241,175,1573,2017-12-21 17:35:28,2020-07-11 13:50:18,0,"Just dropped $650 to get my car serviced, $DAG $VRA $TEL make me my money bag, thanks.",[]
HEY_HONEYBADGER,"Kindly donate if I am helpful! 

#BTC-1B1tK3vu5AZtQWNc4Uuui1JnbzLqcuat6X

#ETH-0xb27ABcCC28A8aC4a0e2fa446FC8E",Moon,4605,830,18862,2018-05-26 23:53:27,2020-07-11 13:46:15,4,"💥💥 $TEL #TELCOIN 💥💥

The beast is AWAKE 

$TEL = the global leader in blockchain based remittance services in telecom 

CEO: Paul Neuner = 15 years a leader in telecommunication industry leading the juggernaut Mobius for 11 years prior to $TEL

🔎https://t.co/ZpqCypcop7 https://t.co/6kEqIPwtqy","[{'text': 'TELCOIN', 'indices': [22, 30]}]"
CryptoEnriko,,,466,141,1806,2017-11-23 09:36:30,2020-07-11 13:45:10,0,$tel getting ready #tiktok $doge $erd $vet https://t.co/NYRbTWdhle,"[{'text': 'tiktok', 'indices': [19, 26]}]"
PlahAndy,,Украина,123,78,3043,2017-12-21 09:43:14,2020-07-11 13:38:57,6,"I LOVE when a plan works out perfectly!! This post in the TG was from a couple days ago when the price was hanging on by a thread.  I made this call before the price even got down that low 😂😜😜🤙🤙🤙

$TEL to the moon now as it made its FIRST ever higher low https://t.co/Kj4zVZoTRF",[]
thebutlermouse,"Husband, Father, Believer! Hustle every Damn Day!",Parts Unknown,832,421,11852,2016-12-01 23:07:35,2020-07-11 13:23:03,6,"I LOVE when a plan works out perfectly!! This post in the TG was from a couple days ago when the price was hanging on by a thread.  I made this call before the price even got down that low 😂😜😜🤙🤙🤙

$TEL to the moon now as it made its FIRST ever higher low https://t.co/Kj4zVZoTRF",[]
jposty21,🇺🇸🇺🇲Love all things crypto $ZIL 2020🚀..Mod Conservative/Patriot..support for a GR8 economy & 401k haha..time 2 put USA 1st. #KAG 🇺🇲Libs are a F'n  joke!,"SL,UT",5328,4905,12087,2011-05-08 04:26:49,2020-07-11 13:07:28,0,@CryptoWizardd Come on $Zil and $tel are gonna burst https://t.co/vftoGFumab,[]
GrootChristiaan,"20 Year 🍻
Crypto/FX Trader 📉
Believer in $SNTVT!
!No personal content!",,62,18,221,2019-07-11 14:56:32,2020-07-11 12:53:07,6,"I LOVE when a plan works out perfectly!! This post in the TG was from a couple days ago when the price was hanging on by a thread.  I made this call before the price even got down that low 😂😜😜🤙🤙🤙

$TEL to the moon now as it made its FIRST ever higher low https://t.co/Kj4zVZoTRF",[]
GucluAyk,,,230,106,6250,2017-04-05 20:36:00,2020-07-11 12:38:06,6,"I LOVE when a plan works out perfectly!! This post in the TG was from a couple days ago when the price was hanging on by a thread.  I made this call before the price even got down that low 😂😜😜🤙🤙🤙

$TEL to the moon now as it made its FIRST ever higher low https://t.co/Kj4zVZoTRF",[]
mkl1896,• Limited Edition • cryptofreak • NL TR,,714,190,5242,2017-07-07 23:43:21,2020-07-11 12:29:56,6,"I LOVE when a plan works out perfectly!! This post in the TG was from a couple days ago when the price was hanging on by a thread.  I made this call before the price even got down that low 😂😜😜🤙🤙🤙

$TEL to the moon now as it made its FIRST ever higher low https://t.co/Kj4zVZoTRF",[]
paddystash,Crypto enthusiast | Lion Tamer | Memory Surgeon | All posts are my opinion and not investment advice | Link to my telegram https://t.co/UGzaok4vwF,"East Coast, USA",1482,14382,26082,2017-04-06 18:45:02,2020-07-11 12:29:29,6,"I LOVE when a plan works out perfectly!! This post in the TG was from a couple days ago when the price was hanging on by a thread.  I made this call before the price even got down that low 😂😜😜🤙🤙🤙

$TEL to the moon now as it made its FIRST ever higher low https://t.co/Kj4zVZoTRF",[]
hvabiff,,,10,5,8,2016-08-28 12:39:42,2020-07-11 12:23:22,0,"@CryptoWizardd #Telcoin breakout yesterday.  CEO quit, new hype and works in the pipeline, keep an eye out on that one...","[{'text': 'Telcoin', 'indices': [15, 23]}]"
Arab_Telcoin,,,113,305,94,2014-07-08 13:35:41,2020-07-11 12:20:52,0,"@telcoin_team I have a question
What quantities of those displayed in billions of tel in kucoin,
Knowing that the quantity exported is 47.245 billion , and this is only for BTC
How versus ETH and the USDT? $tel   #telcoin","[{'text': 'telcoin', 'indices': [213, 221]}]"
oceancryptobag,"$btc $eth
Trader/hodler/investor
$OCEAN #web3",,2282,2194,2928,2018-05-23 17:34:53,2020-07-11 11:48:42,11,"Closing in on shitcoins and making the grand entry into top 100 #soon

$ocean

$qnt $ubt $xrp $xmr $dai $ewt $link $god $fun $rep $tel $tomo $ghost $etn $shit $coin $lambo $rari https://t.co/QNLqMh18AE","[{'text': 'soon', 'indices': [84, 89]}]"
thebutlermouse,"Husband, Father, Believer! Hustle every Damn Day!",Parts Unknown,832,421,11852,2016-12-01 23:07:35,2020-07-11 11:47:08,3,"$TEL  👀

Paga Hits 15.8 M Users

Paga continues to prove doubters wrong and move closer to its goal of serving more than 1 billion customers globally.

https://t.co/hWBt3yrNEt",[]
MichalFutera,"Franchise fan, equity and realestate crowdinvestor. Entrepreneurship promoter. 

Tweets are not financial advice

Privately fan of martial arts and retro games.",The Netherlands,694,420,6510,2010-03-01 10:33:39,2020-07-11 11:36:59,1,$TEL in Downtrend: RSI indicator exits overbought zone. View odds for this and other indicators: https://t.co/Rnw5eUUQRy #TEConnectivityLtdRegisteredShares #stockmarket #stock #technicalanalysis #money #trading #investing #daytrading #news #today https://t.co/SNo8QzjD3K,[]
